is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthistius sebastoides,1901-01-01T00:0000-01:00,Result Product 64dc43ad-44ca-45cc-aa12-ff64eedd9d81,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthistius sebastoides Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 64dc43ad-44ca-45cc-aa12-ff64eedd9d81,2017-11-24T15:07:21.488635,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,64dc43ad-44ca-45cc-aa12-ff64eedd9d81,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/64dc43ad-44ca-45cc-aa12-ff64eedd9d81,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anchovia macrolepidota,1901-01-01T00:0000-01:00,Result Product 1e7d47d6-828f-4df0-8295-a958f8700114,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anchovia macrolepidota Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 820a330b-f496-40ab-a585-124dc18d5aa7,2017-11-30T16:51:28.052282,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,820a330b-f496-40ab-a585-124dc18d5aa7,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/820a330b-f496-40ab-a585-124dc18d5aa7,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthocepola indica,1901-01-01T00:0000-01:00,Result Product ce78a542-5587-450a-a7db-de835b2df514,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthocepola indica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 331c6d99-1b83-4a66-b7ca-06320f6d5e9b,2017-12-22T20:53:11.554017,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,331c6d99-1b83-4a66-b7ca-06320f6d5e9b,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/331c6d99-1b83-4a66-b7ca-06320f6d5e9b,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Alabes Hoesei Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 7adb4600-503b-43fb-ad3a-e069a33c1238,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alabes Hoesei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 7adb4600-503b-43fb-ad3a-e069a33c1238,2017-11-24T20:10:41.882687,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,7adb4600-503b-43fb-ad3a-e069a33c1238,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/7adb4600-503b-43fb-ad3a-e069a33c1238,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis vachellii,1901-01-01T00:0000-01:00,Result Product 8c4f9627-d4c4-4ece-911b-61f61a615278,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ambassis vachellii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ambassis-vachellii1,2017-11-26T14:02:06.632763,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,ambassis-vachellii1,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-vachellii1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus pacificus,1901-01-01T00:0000-01:00,Result Product f2c4aa38-54c5-41a4-9f3b-4afdbfab016b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus pacificus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-pacificus3,2017-11-24T22:12:58.003401,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,alpheus-pacificus3,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-pacificus3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anisotremus davidsonii,1901-01-01T00:0000-01:00,Result Product a0b03404-cf00-43d3-94bc-e36fb12a54c3,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anisotremus davidsonii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier a0b03404-cf00-43d3-94bc-e36fb12a54c3,2017-11-25T05:41:10.207195,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,a0b03404-cf00-43d3-94bc-e36fb12a54c3,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a0b03404-cf00-43d3-94bc-e36fb12a54c3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,amanses scopas Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 0b9bf4a1-5ec4-4244-89f9-79479993d353,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This amanses scopas Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 9670e2a3-163a-4e90-9490-6a2388b70e9c,2017-11-24T22:04:55.683432,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,9670e2a3-163a-4e90-9490-6a2388b70e9c,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/9670e2a3-163a-4e90-9490-6a2388b70e9c,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus eulimene,1901-01-01T00:0000-01:00,Result Product ed8832c8-eb35-438d-b103-232540566ef4,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus eulimene Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-eulimene1,2017-12-09T17:54:40.717123,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,alpheus-eulimene1,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-eulimene1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alabes hoesei,1901-01-01T00:0000-01:00,Result Product 414d8517-2e93-4c09-89af-bcc3997e1780,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alabes hoesei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier cdf691ec-df80-492d-9d9b-a4b0e8fc12c5,2017-11-30T15:28:42.809112,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,cdf691ec-df80-492d-9d9b-a4b0e8fc12c5,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/cdf691ec-df80-492d-9d9b-a4b0e8fc12c5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
