is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alepocephalus Agassizii Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product abcdb3b1-9ae3-40a3-a4ea-fcee1f8a2d23,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alepocephalus Agassizii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d1faa229-4c5c-489e-9cae-cb313ca96ca6,2017-11-25T16:16:34.504003,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,d1faa229-4c5c-489e-9cae-cb313ca96ca6,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d1faa229-4c5c-489e-9cae-cb313ca96ca6,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alepocephalus bicolor,1901-01-01T00:0000-01:00,Result Product 595a00c1-3ee1-4d33-8ffa-1019c38c892c,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alepocephalus bicolor Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d868e6c1-d207-4f35-a758-f8a7365b6354,2017-11-25T00:21:35.365034,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,d868e6c1-d207-4f35-a758-f8a7365b6354,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d868e6c1-d207-4f35-a758-f8a7365b6354,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acipenser sturio,1901-01-01T00:0000-01:00,Result Product e20d36b0-23b8-4397-b74c-f56881494490,string,2099-12-31T23:59:59-01:00,"This Acipenser sturio Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e20d36b0-23b8-4397-b74c-f56881494490,2017-11-25T04:53:06.577040,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,e20d36b0-23b8-4397-b74c-f56881494490,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e20d36b0-23b8-4397-b74c-f56881494490,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amphiprion Perideraion Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product f375ff54-2343-46a1-93ba-a3695a2c440d,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Amphiprion Perideraion Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier f375ff54-2343-46a1-93ba-a3695a2c440d,2017-11-24T19:05:50.154330,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,f375ff54-2343-46a1-93ba-a3695a2c440d,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/f375ff54-2343-46a1-93ba-a3695a2c440d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alosa Sapidissima Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 258f328d-a9c8-456c-b894-89114f9942b0,string,2099-12-31T23:59:59-01:00,"This Alosa Sapidissima Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alosa-sapidissima-aquamaps-native-raster,2017-12-02T23:41:51.033515,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,alosa-sapidissima-aquamaps-native-raster,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alosa-sapidissima-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alticus kirkii,1901-01-01T00:0000-01:00,Result Product 71696d0b-a307-43aa-9791-7e60c5fdc0b4,string,2099-12-31T23:59:59-01:00,"This Alticus kirkii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 6553b9c5-2887-4bd2-8f4b-9bb1dd7874f8,2017-12-22T19:23:55.818998,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,6553b9c5-2887-4bd2-8f4b-9bb1dd7874f8,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/6553b9c5-2887-4bd2-8f4b-9bb1dd7874f8,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amblyglyphidodon curacao,1901-01-01T00:0000-01:00,Result Product 14647cf3-9913-47f5-b326-1cef35870c40,string,2099-12-31T23:59:59-01:00,"This Amblyglyphidodon curacao Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 14647cf3-9913-47f5-b326-1cef35870c40,2017-11-25T08:12:52.308511,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,14647cf3-9913-47f5-b326-1cef35870c40,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/14647cf3-9913-47f5-b326-1cef35870c40,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aculeola nigra,1901-01-01T00:0000-01:00,Result Product 3a02dcea-1826-479c-9c30-ee27ce6aadf9,string,2099-12-31T23:59:59-01:00,"This Aculeola nigra Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 90428f9f-0df8-4870-b969-4ef63344d112,2017-11-25T19:53:25.089612,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,90428f9f-0df8-4870-b969-4ef63344d112,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/90428f9f-0df8-4870-b969-4ef63344d112,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus nigrofuscus,1901-01-01T00:0000-01:00,Result Product 629b97b0-660f-455d-b87b-6141d469defb,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthurus nigrofuscus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 629b97b0-660f-455d-b87b-6141d469defb,2017-12-10T15:07:40.029191,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,629b97b0-660f-455d-b87b-6141d469defb,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/629b97b0-660f-455d-b87b-6141d469defb,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,aethaloperca rogaa Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product e4843988-9588-4e2b-adc4-40ba075ba6c4,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This aethaloperca rogaa Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e4843988-9588-4e2b-adc4-40ba075ba6c4,2017-11-30T07:46:14.070066,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,e4843988-9588-4e2b-adc4-40ba075ba6c4,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e4843988-9588-4e2b-adc4-40ba075ba6c4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
