is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aesopia cornuta,1901-01-01T00:0000-01:00,Result Product 52be79f3-76f6-471d-ae73-34b374e8af85,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aesopia cornuta Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 52be79f3-76f6-471d-ae73-34b374e8af85,2017-11-24T21:53:15.595389,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,52be79f3-76f6-471d-ae73-34b374e8af85,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/52be79f3-76f6-471d-ae73-34b374e8af85,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alionematichthys Riukiuensis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0cdb682f-a735-4729-a85c-fb6d195db457,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alionematichthys Riukiuensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alionematichthys-riukiuensis-aquamaps-native-raster,2017-12-24T14:31:39.649146,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,alionematichthys-riukiuensis-aquamaps-native-raster,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alionematichthys-riukiuensis-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acropora parilis,1901-01-01T00:0000-01:00,Result Product dbd19008-aef4-47f3-92f0-40a5681a6a79,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acropora parilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier dbd19008-aef4-47f3-92f0-40a5681a6a79,2017-11-25T10:48:18.163236,Classification,FullLinkEntity,Medium,Classification,Classification,string,dbd19008-aef4-47f3-92f0-40a5681a6a79,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/dbd19008-aef4-47f3-92f0-40a5681a6a79,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Aluterus heudelotii,1901-01-01T00:0000-01:00,Result Product 4b7b7da4-07f8-4a11-8d71-d00646ee7336,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aluterus heudelotii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 57e258f7-e067-4c0c-82a6-fd4b5ad8db49,2017-11-29T16:27:20.710578,Classification,FullLinkEntity,Measurement,Classification,Classification,string,57e258f7-e067-4c0c-82a6-fd4b5ad8db49,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/57e258f7-e067-4c0c-82a6-fd4b5ad8db49,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,anchoa mitchilli Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product b8e3f5b8-e0bc-4900-9207-6a37176cae7d,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This anchoa mitchilli Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 5061203e-9155-4f16-a439-263ae24391e6,2017-12-02T09:05:22.593534,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,5061203e-9155-4f16-a439-263ae24391e6,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/5061203e-9155-4f16-a439-263ae24391e6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Abudefduf declivifrons,1901-01-01T00:0000-01:00,Result Product 43d9d6dc-01a8-4c27-8e5d-60716bbefec0,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf declivifrons Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name abudefduf-declivifrons1,2017-11-29T08:57:43.143642,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,abudefduf-declivifrons1,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/abudefduf-declivifrons1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-25T10:48:17.398685,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Amphiprion nigripes,1901-01-01T00:0000-01:00,Result Product 90998f2a-6b4d-41d6-8b69-9e6f8d633483,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amphiprion nigripes Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier a7a410dd-b8e8-41d8-b50a-08de380ebc4c,2017-12-25T07:01:20.054714,Classification,FullLinkEntity,Measurement,Classification,Classification,string,a7a410dd-b8e8-41d8-b50a-08de380ebc4c,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/a7a410dd-b8e8-41d8-b50a-08de380ebc4c,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Ampelisca bicarinata,1901-01-01T00:0000-01:00,Result Product 668e15fd-ce54-414e-a216-967dae9efca3,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ampelisca bicarinata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c7af4a86-559c-46d1-a573-c2fae08d23c4,2017-11-25T02:16:27.708658,Classification,FullLinkEntity,Measurement,Classification,Classification,string,c7af4a86-559c-46d1-a573-c2fae08d23c4,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c7af4a86-559c-46d1-a573-c2fae08d23c4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,anguilla bicolor bicolor Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 26e04748-897f-46ef-bde8-df199fcf8d2a,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This anguilla bicolor bicolor Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 3f514f6b-68dd-4a8a-8a89-8047584a49cb,2017-11-29T02:52:03.500120,Classification,FullLinkEntity,Product,Classification,Classification,string,3f514f6b-68dd-4a8a-8a89-8047584a49cb,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/3f514f6b-68dd-4a8a-8a89-8047584a49cb,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchisquilla fasciata,1901-01-01T00:0000-01:00,Result Product 47ef4e49-af8e-4197-982a-bb0d90a33d30,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anchisquilla fasciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0d32aca6-487c-46f2-bbc8-144845ca4f96,2017-11-24T22:59:55.742860,Classification,FullLinkEntity,Measurement,Classification,Classification,string,0d32aca6-487c-46f2-bbc8-144845ca4f96,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0d32aca6-487c-46f2-bbc8-144845ca4f96,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
