is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,47.C.1 SEAFO Division of FAO Major Area 47,1901-01-01T00:0000-01:00,Result Product 77c44e68-e158-40fd-be42-45d18f95f4cc,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 53745d3c-ed70-49d8-91a6-2a01baf59cd6,The FAO major fishing areas for statistical purpose are defined by the CWP handbook of fishery statistical standards available at http://www.fao.org/fishery/cwp/handbook/h/en,1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-28T15:00:03.710876,Classification,FullLinkEntity,string,Measurement,Classification,Classification,53745d3c-ed70-49d8-91a6-2a01baf59cd6,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/53745d3c-ed70-49d8-91a6-2a01baf59cd6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-25T10:30:51.733234,SimpleLinkEntity,Publication,string,2099-12-31T23:59:59-01:00,Acanthurus tennentii,1901-01-01T00:0000-01:00,Result Product 8f06338f-2f87-4a7c-8065-146793de514d,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-tennentii1,"This Acanthurus tennentii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T06:40:24.366333,Classification,FullLinkEntity,string,Measurement,Classification,Classification,acanthurus-tennentii1,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-tennentii1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anampses Lennardi Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 7abac817-9a80-40f6-92b4-3e08346c016c,2099-12-31T23:59:59-01:00,Result Product Revision Identifier a77ca761-c687-4c94-9011-d2724bfff002,"This Anampses Lennardi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T01:05:26.746485,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,a77ca761-c687-4c94-9011-d2724bfff002,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/a77ca761-c687-4c94-9011-d2724bfff002,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acropora striata,1901-01-01T00:0000-01:00,Result Product 275120f7-ef66-409f-b40a-15ad73e8d42d,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 32602793-e069-456d-9a20-a8f1109944e2,"This Acropora striata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T08:19:29.939728,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,32602793-e069-456d-9a20-a8f1109944e2,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/32602793-e069-456d-9a20-a8f1109944e2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aglaophamus malmgreni,1901-01-01T00:0000-01:00,Result Product a7d94c2b-4f0c-4813-952f-88b0f645171b,2099-12-31T23:59:59-01:00,Result Product Identifier a7d94c2b-4f0c-4813-952f-88b0f645171b,"This Aglaophamus malmgreni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T16:11:43.812282,Classification,FullLinkEntity,string,Measurement,Classification,Classification,a7d94c2b-4f0c-4813-952f-88b0f645171b,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a7d94c2b-4f0c-4813-952f-88b0f645171b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acropoma hanedai,1901-01-01T00:0000-01:00,Result Product 7362fba2-1c72-41e4-ae35-72ad519a1413,2099-12-31T23:59:59-01:00,Result Product Identifier 7362fba2-1c72-41e4-ae35-72ad519a1413,"This Acropoma hanedai Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T22:04:08.653046,Classification,FullLinkEntity,string,Product,Classification,Classification,7362fba2-1c72-41e4-ae35-72ad519a1413,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/7362fba2-1c72-41e4-ae35-72ad519a1413,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Abudefduf luridus,1901-01-01T00:0000-01:00,Result Product 2391064f-b10c-4c44-9c1f-004a442b0c32,2099-12-31T23:59:59-01:00,Result Product Identifier 2391064f-b10c-4c44-9c1f-004a442b0c32,"This Abudefduf luridus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T08:58:57.702165,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2391064f-b10c-4c44-9c1f-004a442b0c32,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/2391064f-b10c-4c44-9c1f-004a442b0c32,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Achirus Declivis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 83c852d1-c16a-4262-8b99-8f0c8da72a01,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e998d1b1-0ddf-496f-8ccf-aa8ed8aa4945,"This Achirus Declivis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T01:09:41.481515,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,e998d1b1-0ddf-496f-8ccf-aa8ed8aa4945,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e998d1b1-0ddf-496f-8ccf-aa8ed8aa4945,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anisodoris nobilis,1901-01-01T00:0000-01:00,Result Product 219f56cd-d26f-43d8-af5b-d69d98370548,2099-12-31T23:59:59-01:00,Result Product Identifier 219f56cd-d26f-43d8-af5b-d69d98370548,"This Anisodoris nobilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T00:26:55.646432,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,219f56cd-d26f-43d8-af5b-d69d98370548,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/219f56cd-d26f-43d8-af5b-d69d98370548,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthaphritis Grandisquamis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 1f29c5c2-30b5-4f04-aba6-b5629f961bd0,2099-12-31T23:59:59-01:00,Result Product Name acanthaphritis-grandisquamis-aquamaps-native-raster,"This Acanthaphritis Grandisquamis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T10:36:47.326078,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,acanthaphritis-grandisquamis-aquamaps-native-raster,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthaphritis-grandisquamis-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
