is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,has_identifier_has_id_value,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_endDate,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,alpheus cylindricus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1f36514a-eac1-4255-8b89-0d26d9cae86a,1f36514a-eac1-4255-8b89-0d26d9cae86a,2099-12-31T23:59:59-01:00,"This alpheus cylindricus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 1f36514a-eac1-4255-8b89-0d26d9cae86a,2017-12-24T07:04:49.206982,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/1f36514a-eac1-4255-8b89-0d26d9cae86a,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Aegean (Division 37.3.1 of FAO Major Area 37),1901-01-01T00:0000-01:00,Result Product 21f8341c-6324-49d0-93e3-c9ed1d8c2765,21f8341c-6324-49d0-93e3-c9ed1d8c2765,2099-12-31T23:59:59-01:00,The FAO major fishing areas for statistical purpose are defined by the CWP handbook of fishery statistical standards available at http://www.fao.org/fishery/cwp/handbook/h/en,1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 21f8341c-6324-49d0-93e3-c9ed1d8c2765,2017-11-26T06:15:49.839411,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/21f8341c-6324-49d0-93e3-c9ed1d8c2765,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,alepisaurus brevirostris Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 9a14050f-9c2a-410f-b766-c394483ee20a,0681b13f-c1b6-4225-b772-0a2828015745,2099-12-31T23:59:59-01:00,"This alepisaurus brevirostris Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0681b13f-c1b6-4225-b772-0a2828015745,2017-11-26T03:21:15.143895,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0681b13f-c1b6-4225-b772-0a2828015745,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus olivaceus,1901-01-01T00:0000-01:00,Result Product e286c1cc-463d-4a0a-8f5b-5e669463f2c4,e59cfce6-cb01-446a-ad55-d5ca7b7c3c4d,2099-12-31T23:59:59-01:00,"This Acanthurus olivaceus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e59cfce6-cb01-446a-ad55-d5ca7b7c3c4d,2017-11-30T20:40:02.708117,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e59cfce6-cb01-446a-ad55-d5ca7b7c3c4d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acetes erythraeus,1901-01-01T00:0000-01:00,Result Product e8925089-34b9-4b99-979a-a4e0b8470dc2,acetes-erythraeus1,2099-12-31T23:59:59-01:00,"This Acetes erythraeus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acetes-erythraeus1,2017-11-30T08:02:17.421829,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acetes-erythraeus1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ancylopsetta dendritica,1901-01-01T00:0000-01:00,Result Product ec77b4f0-db30-4bc0-9606-b4d7e18e7a77,ancylopsetta-dendritica3,2099-12-31T23:59:59-01:00,"This Ancylopsetta dendritica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ancylopsetta-dendritica3,2017-11-24T16:56:49.848194,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ancylopsetta-dendritica3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aipysurus eydouxii,1901-01-01T00:0000-01:00,Result Product 935a24e7-8b98-4c71-b4f5-31f4aec7c367,aipysurus-eydouxii,2099-12-31T23:59:59-01:00,"This Aipysurus eydouxii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name aipysurus-eydouxii,2017-11-25T14:37:30.598940,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/aipysurus-eydouxii,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthopagrus schlegelii schlegelii,1901-01-01T00:0000-01:00,Result Product d7ff9a88-fe82-405b-9cf9-1f03f999346b,a57ca207-6a1f-493f-b6cb-7c4addde6255,2099-12-31T23:59:59-01:00,"This Acanthopagrus schlegelii schlegelii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier a57ca207-6a1f-493f-b6cb-7c4addde6255,2017-11-24T16:59:30.750384,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/a57ca207-6a1f-493f-b6cb-7c4addde6255,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anadara antiquata,1901-01-01T00:0000-01:00,Result Product ddba00ab-fdcb-4536-bc9a-4884ec90c2b9,bc92a286-f3ce-4ad6-9949-c32ab4df0cd3,2099-12-31T23:59:59-01:00,"This Anadara antiquata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier bc92a286-f3ce-4ad6-9949-c32ab4df0cd3,2017-11-29T18:06:46.965385,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/bc92a286-f3ce-4ad6-9949-c32ab4df0cd3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ampelisca aequicornis,1901-01-01T00:0000-01:00,Result Product a79775e5-55d2-44d0-8ad8-2b6ebe3b5584,d19a6d58-8612-4cd4-afc6-3644665e466b,2099-12-31T23:59:59-01:00,"This Ampelisca aequicornis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d19a6d58-8612-4cd4-afc6-3644665e466b,2017-11-24T14:09:10.613363,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d19a6d58-8612-4cd4-afc6-3644665e466b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
