is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alionematichthys minyomma,1901-01-01T00:0000-01:00,Result Product e46b2a78-a501-4272-a999-53059caf1213,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alionematichthys minyomma Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e46b2a78-a501-4272-a999-53059caf1213,2017-11-25T16:23:28.238319,Classification,FullLinkEntity,Medium,Classification,Classification,string,e46b2a78-a501-4272-a999-53059caf1213,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e46b2a78-a501-4272-a999-53059caf1213,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus Malleator Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 795e8f5a-0f43-47fe-ac44-c9c12860f424,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus Malleator Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 795e8f5a-0f43-47fe-ac44-c9c12860f424,2017-11-26T01:40:38.764224,Classification,FullLinkEntity,Measurement,Classification,Classification,string,795e8f5a-0f43-47fe-ac44-c9c12860f424,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/795e8f5a-0f43-47fe-ac44-c9c12860f424,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acrosterigma transcendens,1901-01-01T00:0000-01:00,Result Product 1a043279-0c24-4e37-86d2-c5cde762d39d,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acrosterigma transcendens Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acrosterigma-transcendens2,2017-11-25T04:44:29.229646,Classification,FullLinkEntity,Measurement,Classification,Classification,string,acrosterigma-transcendens2,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acrosterigma-transcendens2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amphiprion percula,1901-01-01T00:0000-01:00,Result Product 46ae4572-6539-4817-ade0-a18f50892371,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amphiprion percula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amphiprion-percula3,2017-11-29T00:30:04.193582,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,amphiprion-percula3,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amphiprion-percula3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthacaris caeca,1901-01-01T00:0000-01:00,Result Product 4a270bbe-cba0-4fbb-85c4-de07cb6fa2be,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthacaris caeca Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthacaris-caeca1,2017-11-25T03:47:42.385328,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,acanthacaris-caeca1,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthacaris-caeca1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alpheus paracrinitus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 9a24266f-79f2-4528-8b95-83500d24d8c5,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This alpheus paracrinitus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9a24266f-79f2-4528-8b95-83500d24d8c5,2017-11-26T03:38:23.725761,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,9a24266f-79f2-4528-8b95-83500d24d8c5,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9a24266f-79f2-4528-8b95-83500d24d8c5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amblygobius Buanensis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0b043754-3bc2-49ff-b627-f7ace2d84c75,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblygobius Buanensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 0b043754-3bc2-49ff-b627-f7ace2d84c75,2017-11-24T22:52:23.254393,Classification,FullLinkEntity,Measurement,Classification,Classification,string,0b043754-3bc2-49ff-b627-f7ace2d84c75,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/0b043754-3bc2-49ff-b627-f7ace2d84c75,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anomia ephippium,1901-01-01T00:0000-01:00,Result Product fe4ba107-4df4-4fa0-8336-5ffbce438979,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anomia ephippium Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anomia-ephippium,2017-11-24T22:42:31.442228,Classification,FullLinkEntity,Medium,Classification,Classification,string,anomia-ephippium,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/anomia-ephippium,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amblygobius Bynoensis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product b89c5566-3722-43c0-a58d-7098e5cfc2ef,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblygobius Bynoensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amblygobius-bynoensis-aquamaps-native-raster,2017-12-01T01:26:05.749330,Classification,FullLinkEntity,Measurement,Classification,Classification,string,amblygobius-bynoensis-aquamaps-native-raster,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amblygobius-bynoensis-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus Xanthopterus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 5f400420-51c6-4ef1-a2ad-72ec69be884b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthurus Xanthopterus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 5f400420-51c6-4ef1-a2ad-72ec69be884b,2017-11-25T12:39:22.106307,Classification,FullLinkEntity,Measurement,Classification,Classification,string,5f400420-51c6-4ef1-a2ad-72ec69be884b,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/5f400420-51c6-4ef1-a2ad-72ec69be884b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
